Ref	x	y	Connectivity	Point First Moment	Point Second Moment	Visual Integration [HH]	conn	integ
65584	-550	162.2526316	343	45429.238	8480096	2.5976431	3	0.928572
65585	-550	169.7473684	344	45774.703	8621040	2.5979517	2	0.85978901
131120	-542.5595238	162.2526316	342	44250.605	8179792	2.5973349	3	0.928572
131121	-542.5595238	169.7473684	342	44433.621	8293696	2.5973349	2	0.85978901
131122	-542.5595238	177.2421053	343	44837.871	8442976	2.5976431	2	0.85978901
196655	-535.1190476	154.7578947	340	42836.563	7760288	2.5563722	3	0.928572
196656	-535.1190476	162.2526316	341	43137.074	7893824	2.5970266	3	0.928572
196657	-535.1190476	169.7473684	342	43480.047	8031568	2.5973349	2	0.85978901
196658	-535.1190476	177.2421053	334	41897.625	7717008	2.5948708	2	0.85978901
196659	-535.1190476	184.7368421	141	8784.2559	821680	2.3261981	2	0.85978901
196660	-535.1190476	192.2315789	130	8348.7539	802048	2.3232346	2	0.85978901
262190	-527.6785714	147.2631579	243	33019.066	6458240	2.2557001	3	0.928572
262191	-527.6785714	154.7578947	246	33530.727	6615424	2.51033	3	0.928572
262192	-527.6785714	162.2526316	258	34504.297	6800016	2.5137904	3	0.928572
262193	-527.6785714	169.7473684	338	41857.277	7633456	2.5961022	2	0.85978901
262194	-527.6785714	177.2421053	129	8077.8467	768848	2.3229878	2	0.85978901
262195	-527.6785714	184.7368421	123	7765.8857	736528	2.3215091	2	0.85978901
262196	-527.6785714	192.2315789	123	7640.0586	712160	2.3215091	2	0.85978901
262197	-527.6785714	199.7263158	124	7570.3472	691872	2.3217554	2	0.85978901
327725	-520.2380952	139.7684211	241	31960.848	6114736	2.255235	3	0.928572
327726	-520.2380952	147.2631579	240	32250.588	6249296	2.2550027	3	0.928572
327727	-520.2380952	154.7578947	238	32667.727	6403376	2.2545381	3	0.928572
327728	-520.2380952	162.2526316	237	33183.375	6566336	2.2543058	3	0.928572
327730	-520.2380952	177.2421053	115	7499.5366	705952	2.2784824	2	0.85978901
327731	-520.2380952	184.7368421	118	7358.9517	682448	2.3200324	2	0.85978901
327732	-520.2380952	192.2315789	120	7236.0293	656976	2.3205245	2	0.85978901
327733	-520.2380952	199.7263158	121	7131.4224	634768	2.3207705	2	0.85978901
327734	-520.2380952	207.2210526	122	7067.271	616304	2.3210168	2	0.85978901
393261	-512.797619	139.7684211	237	31099.441	5900544	2.2543058	3	0.928572
393262	-512.797619	147.2631579	237	31538.979	6048544	2.2543058	3	0.928572
393263	-512.797619	154.7578947	235	32001.221	6203408	2.2536092	3	0.928572
393264	-512.797619	162.2526316	216	28500.021	5414464	2.2492082	3	0.928572
393268	-512.797619	192.2315789	116	6886.3428	608576	2.3195405	2	0.85978901
393269	-512.797619	199.7263158	118	6764.0513	584960	2.3200324	2	0.85978901
393270	-512.797619	207.2210526	118	6529.748	546768	2.3200324	2	0.85978901
393271	-512.797619	214.7157895	121	6636.022	549088	2.3207705	2	0.85978901
393272	-512.797619	222.2105263	123	6763.0059	557344	2.6938996	2	0.85978901
458796	-505.3571429	132.2736842	238	30177.85	5579712	2.2545381	3	0.928572
458797	-505.3571429	139.7684211	236	30448.307	5708176	2.2538414	3	0.928572
