Ref	x	y	Connectivity	Point First Moment	Point Second Moment	Visual Integration [HH]	conn	integ
65584	-88	72	343	45429.238	8480096	2.5976431	3	0.928572
65585	-88	76	344	45774.703	8621040	2.5979517	2	0.85978901
131120	-84	72	342	44250.605	8179792	2.5973349	3	0.928572
131121	-84	76	342	44433.621	8293696	2.5973349	2	0.85978901
131122	-84	80	343	44837.871	8442976	2.5976431	2	0.85978901
196655	-80	68	340	42836.563	7760288	2.5563722	3	0.928572
196656	-80	72	341	43137.074	7893824	2.5970266	3	0.928572
196657	-80	76	342	43480.047	8031568	2.5973349	2	0.85978901
196658	-80	80	334	41897.625	7717008	2.5948708	2	0.85978901
196659	-80	84	141	8784.2559	821680	2.3261981	2	0.85978901
196660	-80	88	130	8348.7539	802048	2.3232346	2	0.85978901
262190	-76	64	243	33019.066	6458240	2.2557001	3	0.928572
262191	-76	68	246	33530.727	6615424	2.51033	3	0.928572
262192	-76	72	258	34504.297	6800016	2.5137904	3	0.928572
262193	-76	76	338	41857.277	7633456	2.5961022	2	0.85978901
262194	-76	80	129	8077.8467	768848	2.3229878	2	0.85978901
262195	-76	84	123	7765.8857	736528	2.3215091	2	0.85978901
262196	-76	88	123	7640.0586	712160	2.3215091	2	0.85978901
262197	-76	92	124	7570.3472	691872	2.3217554	2	0.85978901
327725	-72	60	241	31960.848	6114736	2.255235	3	0.928572
327726	-72	64	240	32250.588	6249296	2.2550027	3	0.928572
327727	-72	68	238	32667.727	6403376	2.2545381	3	0.928572
327728	-72	72	237	33183.375	6566336	2.2543058	3	0.928572
327730	-72	80	115	7499.5366	705952	2.2784824	2	0.85978901
327731	-72	84	118	7358.9517	682448	2.3200324	2	0.85978901
327732	-72	88	120	7236.0293	656976	2.3205245	2	0.85978901
327733	-72	92	121	7131.4224	634768	2.3207705	2	0.85978901
327734	-72	96	122	7067.271	616304	2.3210168	2	0.85978901
393261	-68	60	237	31099.441	5900544	2.2543058	3	0.928572
393262	-68	64	237	31538.979	6048544	2.2543058	3	0.928572
393263	-68	68	235	32001.221	6203408	2.2536092	3	0.928572
393264	-68	72	216	28500.021	5414464	2.2492082	3	0.928572
393268	-68	88	116	6886.3428	608576	2.3195405	2	0.85978901
393269	-68	92	118	6764.0513	584960	2.3200324	2	0.85978901
393270	-68	96	118	6529.748	546768	2.3200324	2	0.85978901
393271	-68	100	121	6636.022	549088	2.3207705	2	0.85978901
393272	-68	104	123	6763.0059	557344	2.6938996	2	0.85978901
458796	-64	56	238	30177.85	5579712	2.2545381	3	0.928572
458797	-64	60	236	30448.307	5708176	2.2538414	3	0.928572
458798	-64	64	235	30899.574	5855984	2.2536092	3	0.928572
458799	-64	68	222	28776.727	5406896	2.250596	3	0.928572
458805	-64	92	116	6491.3398	542624	2.3195405	2	0.85978901
458806	-64	96	116	6234.1733	505072	2.3195405	2	0.85978901
458807	-64	100	118	6169.8037	487184	2.3200324	2	0.85978901
458808	-64	104	119	6118.731	472224	2.3202784	2	0.85978901
458809	-64	108	122	6380.2974	498000	2.693568	2	0.85978901
524331	-60	52	237	29154.107	5260416	2.2540736	3	0.928572
524332	-60	56	235	29405.689	5382864	2.2536092	3	0.928572
524333	-60	60	235	29849.256	5523664	2.2536092	3	0.928572
524334	-60	64	230	29571.34	5519344	2.2524493	3	0.928572
524342	-60	96	115	6009.8447	465216	2.2784824	2	0.85978901
524343	-60	100	116	5909.4238	450352	2.3195405	2	0.85978901
524344	-60	104	117	5826.3589	433936	2.3197865	2	0.85978901
524345	-60	108	119	5822.5513	422688	2.3202784	2	0.85978901
524346	-60	112	121	5951.0654	430144	2.3207705	2	0.85978901
524347	-60	116	122	5993.9287	425792	2.693568	2	0.85978901
589866	-56	48	237	28216.828	4957632	2.2540736	3	0.928572
589867	-56	52	235	28435.799	5073200	2.2536092	3	0.928572
589868	-56	56	234	28811.025	5205088	2.2533772	3	0.928572
589869	-56	60	234	29287.631	5346096	2.2533772	3	0.928572
589880	-56	104	116	5636.3638	403120	2.3195405	2	0.85978901
589881	-56	108	117	5564.5132	389168	2.3197865	2	0.85978901
589882	-56	112	118	5532.6821	378832	2.3200324	2	0.85978901
589883	-56	116	121	5711.8477	389376	2.3207705	2	0.85978901
589884	-56	120	122	5768.145	387488	2.693568	2	0.85978901
655401	-52	44	237	27554.123	4737968	2.2540736	3	0.928572
655402	-52	48	236	27607.861	4786720	2.2538414	3	0.928572
655403	-52	52	234	27853.832	4902528	2.2533772	3	0.928572
655404	-52	56	234	28298.678	5036016	2.2533772	3	0.928572
655417	-52	108	115	5290.6367	348192	2.2784824	2	0.85978901
655418	-52	112	116	5249.3213	340800	2.3195405	2	0.85978901
655419	-52	116	117	5226.3457	332464	2.3197865	2	0.85978901
655420	-52	120	119	5354.6831	340016	2.3202784	2	0.85978901
655421	-52	124	122	5592.4297	357056	2.693568	2	0.85978901
720937	-48	44	236	26739.324	4506304	2.2538414	3	0.928572
720938	-48	48	234	26950.193	4615008	2.2533772	3	0.928572
720939	-48	52	234	27360.824	4740976	2.2533772	3	0.928572
720940	-48	56	216	24246.496	4117872	2.2492082	3	0.928572
720955	-48	116	116	5095.9805	312288	2.3195405	2	0.85978901
720956	-48	120	117	5083.6245	306576	2.3197865	2	0.85978901
720957	-48	124	119	5216.7754	315536	2.3202784	2	0.85978901
720958	-48	128	121	5400.8457	330576	2.6932364	2	0.85978901
720959	-48	132	122	5463.3125	328144	2.693568	2	0.85978901
786472	-44	40	236	25922.672	4241056	2.2538414	3	0.928572
786473	-44	44	234	26100.197	4342528	2.2533772	3	0.928572
786474	-44	48	234	26477.207	4460976	2.2533772	3	0.928572
786475	-44	52	226	25448.643	4298064	2.2515223	3	0.928572
786492	-44	120	116	4991.0117	291264	2.3195405	2	0.85978901
786493	-44	124	117	4990.0869	288240	2.3197865	2	0.85978901
786494	-44	128	119	5126.5532	298736	2.3202784	2	0.85978901
786495	-44	132	121	5313.9468	315184	2.6932364	2	0.85978901
786496	-44	136	121	5327.3687	312272	2.6932364	2	0.85978901
852007	-40	36	237	25404.414	4053328	2.2540736	3	0.928572
852008	-40	40	235	25375.746	4090784	2.2536092	3	0.928572
852009	-40	44	234	25645.258	4196016	2.2533772	3	0.928572
852010	-40	48	234	26053.301	4314464	2.2533772	3	0.928572
852030	-40	128	117	4943.9395	277456	2.3197865	2	0.85978901
852031	-40	132	118	4990.2441	280832	2.3200324	2	0.85978901
852032	-40	136	121	5276.1611	307600	2.6932364	2	0.85978901
852033	-40	140	121	5305.9316	308592	2.6932364	2	0.85978901
852034	-40	144	130	6114.3638	376032	2.696223	2	0.85978901
917542	-36	32	236	24613.422	3811024	2.2538414	3	0.928572
917543	-36	36	235	24619.723	3847584	2.2536092	3	0.928572
917544	-36	40	234	24862.377	3946096	2.2533772	3	0.928572
917545	-36	44	234	25239.43	4057024	2.2533772	3	0.928572
917567	-36	132	116	4864.3291	267824	2.3195405	2	0.85978901
917568	-36	136	118	5002.1162	280416	2.3200324	2	0.85978901
917569	-36	140	121	5288.0757	307824	2.6932364	2	0.85978901
917570	-36	144	121	5334.9219	312720	2.6932364	2	0.85978901
917571	-36	148	130	6111.3076	376000	2.696223	2	0.85978901
983078	-32	32	235	23915.34	3619488	2.2536092	3	0.928572
983079	-32	36	234	24128.932	3711216	2.2533772	3	0.928572
983080	-32	40	234	24473.117	3814624	2.2533772	3	0.928572
983104	-32	136	116	4919.9683	273008	2.3195405	2	0.85978901
983105	-32	140	117	4988.627	281712	2.3197865	2	0.85978901
983106	-32	144	121	5351.6563	315856	2.6932364	2	0.85978901
983107	-32	148	121	5415.5322	324656	2.6932364	2	0.85978901
983108	-32	152	132	6345.2231	401856	2.6968875	2	0.85978901
1048613	-28	28	235	23260.908	3406496	2.2536092	3	0.928572
1048614	-28	32	235	23507.963	3495104	2.2536092	3	0.928572
1048615	-28	36	234	23756.824	3587264	2.2533772	3	0.928572
1048616	-28	40	218	21346.852	3169056	2.2496705	3	0.928572
1048642	-28	144	117	5107.6533	297360	2.3197865	2	0.85978901
1048643	-28	148	120	5379.667	324464	2.3205245	2	0.85978901
1048644	-28	152	121	5544.8877	344400	2.6932364	2	0.85978901
1048645	-28	156	133	6506.8623	422848	2.6972201	2	0.85978901
1048646	-28	160	135	6797.3262	452432	2.697885	2	0.85978901
1114148	-24	24	236	22883.211	3261376	2.2538414	3	0.928572
1114149	-24	28	235	22869.541	3289664	2.2536092	3	0.928572
1114150	-24	32	234	23091.982	3374944	2.2533772	3	0.928572
1114151	-24	36	231	23039.953	3410576	2.2526813	3	0.928572
1114179	-24	148	116	5214.3188	316960	2.3195405	2	0.85978901
1114180	-24	152	119	5473.1953	343600	2.3202784	2	0.85978901
1114181	-24	156	121	5721.5	371952	2.6932364	2	0.85978901
1114182	-24	160	133	6630.6846	445184	2.6972201	2	0.85978901
1114183	-24	164	135	6927.689	477296	2.697885	2	0.85978901
1179683	-20	20	236	22318.48	3076064	2.2538414	3	0.928572
1179684	-20	24	235	22279.039	3099328	2.2536092	3	0.928572
1179685	-20	28	235	22528.115	3180384	2.2536092	3	0.928572
1179686	-20	32	234	22786.848	3266032	2.2533772	3	0.928572
1179717	-20	156	118	5630.0537	372816	2.3200324	2	0.85978901
1179718	-20	160	121	5944.8843	407312	2.6932364	2	0.85978901
